"pew_religimp","pew_churatd","sex","educ","nonwhite","age","faminc_new","pid3","ideo5","QueerPhobia","ImmiPhobia","InterGBiasParty","InterGBiasCand","InterGBiasSup","LibMediaUse","ConMediaUse","Real_Threat","Symb_Threat","Evaluation","teamweight","caseid"
2,6,"2",2,"1",56,6,"1",1,1,1,-99,-99,-96,2.66666666666667,1,5,4.85714285714286,"0",0.505027880201008,1231308943
2,4,"2",5,"1",53,13,"1",2,3,1,-100,-100,-100,2,2,5,5,"0",0.852380503966956,1232300315
1,2,"1",2,"1",69,10,"2",5,4.33333333333333,3.5,99,99,96,1,1,5,5,"2",1.32018936090903,1232358697
2,3,"1",6,"1",76,97,"1",3,1,1,-86,-91,-89,4.66666666666667,1.33333333333333,4.25,4.42857142857143,"0",0.519197675282533,1232540961
4,5,"2",6,"1",83,4,"1",2,1,1,-80,-88,-87,4.66666666666667,3.66666666666667,4.25,5,"0",1.15400474474816,1232580601
4,6,"1",3,"2",87,9,"3",3,4,4,-39,-89,-84,4,2,4,3.71428571428571,"0",0.675546438045946,1232638601
2,3,"1",6,"1",83,11,"3",3,2.33333333333333,2.5,-18,-79,-43,5,4,4,3.85714285714286,"0",0.519197675282533,1232661775
1,1,"1",5,"1",69,11,"3",4,4.66666666666667,2.5,82,98,99,1.66666666666667,5,5,4.85714285714286,"2",0.954665491423916,1232900901
1,2,"1",6,"1",84,10,"3",3,2.66666666666667,2,-61,-86,-49,2.66666666666667,2,3.75,3.28571428571429,"0",0.519197675282533,1232924457
3,4,"2",4,"1",63,8,"1",1,1,2.5,-93,-98,-84,4,1.33333333333333,2.75,3.71428571428571,"0",0.873552496252135,1233866717
1,1,"1",3,"2",54,2,"2",4,3.66666666666667,3,94,97,93,1,3,4.25,4,"3",1.08152881747433,1234800933
2,3,"2",5,"1",46,6,"1",2,2.66666666666667,1.5,-84,-99,-91,5.66666666666667,2.33333333333333,4.25,4.71428571428571,"0",0.852380503966956,1234814929
2,5,"2",3,"1",49,5,"3",5,1.66666666666667,3,92,97,94,2,2.66666666666667,3.25,3,"2",1.21873066796847,1234833015
3,7,"2",6,"1",35,7,"3",2,1.33333333333333,1,-19,-63,-74,3,1.66666666666667,3.5,4,"0",0.855742920956741,1234836067
4,5,"2",6,"1",54,11,"2",3,2.33333333333333,2,3,-37,-19,2,2,2,2,"0",0.883661908865727,1234858411
1,1,"1",3,"1",77,6,"3",4,5,4.5,48,94,92,1.66666666666667,3,2.75,4.71428571428571,"2",1.05497397121027,1234861823
4,6,"2",4,"1",61,9,"3",3,2,1.5,-42,-63,-75,1,1,2,2,"0",0.873552496252135,1234863027
4,5,"2",3,"1",66,10,"1",2,1.33333333333333,1,-89,-88,-88,5,2.33333333333333,5,4.42857142857143,"0",1.09233895417167,1234946769
4,6,"1",2,"1",67,8,"1",3,2.66666666666667,2,-85,-92,-95,4.33333333333333,2,3.25,4,"0",0.94627528629437,1234991753
1,6,"2",3,"1",44,3,"2",5,5,5,96,90,-1,3,3,1.5,2.71428571428571,"0",0.918230570602991,1235109215
4,6,"1",5,"2",30,8,"3",3,2,3,45,56,24,1,1,3.5,2.85714285714286,"2",0.224251216050258,1235307767
4,6,"2",5,"1",57,8,"1",3,2.33333333333333,2,-51,-97,-99,2,1,4,4,"0",0.852380503966956,1235323577
1,2,"2",4,"1",56,3,"3",3,2.66666666666667,2,-19,-72,-87,2,2,2.5,3,"0",0.873552496252135,1235323725
1,5,"2",2,"2",72,7,"2",3,1.33333333333333,1,-99,-99,-96,3.66666666666667,1,1,1,"0",0.622841397491711,1235514415
1,1,"2",2,"1",47,7,"2",4,5,3,95,88,47,1.66666666666667,5.33333333333333,5,4.85714285714286,"2",0.704586122094288,1235557223
2,5,"2",2,"1",52,2,"1",1,1.66666666666667,1.5,-96,-99,-78,4,1,4,4,"0",0.505027880201008,1235566639
3,6,"1",6,"2",32,4,"2",4,1.66666666666667,3,-4,8,24,3.33333333333333,2.66666666666667,2.25,3.14285714285714,"3",0.382996880911311,1235596553
3,5,"2",2,"1",65,5,"2",4,3.66666666666667,3.5,86,95,95,1.33333333333333,4,5,4.57142857142857,"1",1.06641411116284,1235620643
1,4,"2",2,"1",86,2,"1",6,2.33333333333333,1.5,-58,-78,-77,3,2,5,3.85714285714286,"0",0.764376193468287,1235622255
1,1,"1",6,"2",60,11,"3",5,4.33333333333333,3.5,90,91,47,2,5.33333333333333,5,5,"1",0.23762019745613,1235647529
1,1,"2",6,"2",57,2,"2",4,3.66666666666667,2,22,58,-14,4.66666666666667,5,2.25,1.85714285714286,"2",0.580215735100354,1235648065
1,6,"2",2,"1",73,6,"1",3,2.33333333333333,3,22,89,69,1,1,2,2.85714285714286,"2",1.24865772925938,1235648373
3,4,"2",6,"2",29,97,"1",2,1.33333333333333,1,-44,-63,-68,3.66666666666667,1.66666666666667,5,3.71428571428571,"0",0.437991992208544,1235650589
1,3,"2",2,"1",58,3,"1",3,3,3,-44,-69,-51,1.33333333333333,1.33333333333333,3.5,3.42857142857143,"1",0.505027880201008,1235735013
